Location:;huelva
Date:;12/18/2024 14:53:22
Prehole Mode:;
Prehole Depth:;0
Hydrostatic Line:;200
Probe Code:;001236
Ground Level:;0
Lat.:;681062
Lon.:;4124948
Comments:;preforo a 3 m
Operator:;Alejandro
Client:;aph
SeisON:;9600
TempON:;0
P. Qc:;184600
P. Fs:;31019
P. U2:;10642
P. Tilt:;332353
P. Temp:;400800
Z. Qc:;3950;21,4;3943;21,36;0,04
Z. Fs:;7785;250,98;7785;250,98;0
Z. U2:;31778;2986,09;35693;3353,97;367,88
Z. Tilt:;6005;0,48;158003;10,36;9,88
Depth;Qc;Fs;U2;Rf;Temp;Tilt;Dist;Speed;Qt;U2-U0;Time
1;0,01;-0,03;0;0;0;0,39;0,01;0;0,01;0;40
2;0;-0,03;-0,09;0;0;0,47;0,02;2,8;0;-0,09;40
3;-0,01;-0,03;-0,19;0;0;0,28;0,02;2,8;-0,01;-0,19;41
4;-0,01;-0,03;0;0;0;0,39;0,03;2,8;-0,01;0;41
5;0,01;0;-0,09;0;0;0,48;0,04;2,8;0,01;-0,09;41
6;0;0;-0,19;0;0;0,56;0,04;2,8;0;-0,19;42
7;-0,01;-0,03;-0,19;0;0;0,47;0,05;0,1;-0,01;-0,19;51
8;-0,01;-0,03;0,09;0;0;0,51;0,06;2,7;-0,01;0,09;52
9;0,01;0;-0,38;0;0;0,47;0,07;2,7;0,01;-0,38;52
10;-0,01;-0,03;-0,19;0;0;0,34;0,08;2,6;-0,01;-0,19;53
11;0,01;-0,03;-0,09;0;0;0,44;0,08;2,6;0,01;-0,09;53
12;-0,01;0;0,09;0;0;0,5;0,09;2,6;-0,01;0,09;53
13;0;0;-0,19;0;0;0,44;0,1;2,6;0;-0,19;54
14;-0,01;-0,03;-0,19;0;0;0,5;0,11;0,1;-0,01;-0,19;61
15;0;-0,03;-0,19;0;0;0,56;0,12;2,6;0;-0,19;61
16;-0,01;-0,03;-0,09;0;0;0,39;0,13;2,6;-0,01;-0,09;61
17;0;0;-0,09;0;0;0,48;0,13;2,6;0;-0,09;62
18;-0,01;0;-0,28;0;0;0,44;0,14;2,6;-0,01;-0,28;62
19;0;-0,03;0,09;0;0;0,61;0,15;2,6;0;0,09;62
20;-0,01;0;-0,19;0;0;0,43;0,16;2,5;-0,01;-0,19;63
21;-0,01;0;-0,28;0;0;0,48;0,17;2,6;-0,01;-0,28;63
22;0;-0,03;-0,09;0;0;0,48;0,18;2,5;0;-0,09;63
23;-0,01;0;-0,09;0;0;0,53;0,19;2,6;-0,01;-0,09;64
24;-0,01;-0,03;-0,19;0;0;0,39;0,19;2,6;-0,01;-0,19;64
25;-0,01;0;-0,38;0;0;0,48;0,2;0,1;-0,01;-0,38;72
26;0;0;-0,19;0;0;0,52;0,21;1,8;0;-0,19;72
27;-0,01;0;-0,09;0;0;0,48;0,22;1,7;-0,01;-0,09;73
28;0;0;-0,19;0;0;0,51;0,23;1,7;0;-0,19;73
29;-0,01;0;-0,19;0;0;0,5;0,24;0,1;-0,01;-0,19;80
30;0;0;-0,19;0;0;0,43;0,24;2,2;0;-0,19;81
31;-0,01;0;-0,19;0;0;0,56;0,25;2,2;-0,01;-0,19;81
32;-0,01;0;-0,19;0;0;0,36;0,26;2,2;-0,01;-0,19;82
33;0;0;-0,19;0;0;0,39;0,27;0,1;0;-0,19;88
34;-0,01;-0,03;-0,09;0;0;0,51;0,28;1,9;-0,01;-0,09;88
35;-0,01;0;-0,28;0;0;0,44;0,28;1,9;-0,01;-0,28;89
36;-0,01;0;-0,19;0;0;0,48;0,29;1,9;-0,01;-0,19;90
37;-0,01;0;-0,19;0;0;0,58;0,3;1,9;-0,01;-0,19;90
38;-0,01;0;-0,09;0;0;0,48;0,31;1,9;-0,01;-0,09;91
39;-0,01;0;-0,28;0;0;0,51;0,32;1,9;-0,01;-0,28;91
40;0,01;0;-0,28;0;0;0,56;0,33;1,9;0,01;-0,28;92
41;-0,01;0;-0,19;0;0;0,61;0,34;1,9;-0,01;-0,19;92
42;0;0;-0,28;0;0;0,43;0,35;1,9;0;-0,28;93
43;-0,01;0;-0,38;0;0;0,43;0,35;1,9;-0,01;-0,38;93
44;-0,01;0;-0,19;0;0;0,48;0,36;1,9;-0,01;-0,19;94
45;-0,01;0;-0,28;0;0;0,53;0,37;1,9;-0,01;-0,28;94
46;-0,01;0;0,09;0;0;0,51;0,38;1,9;-0,01;0,09;95
47;-0,01;0;-0,28;0;0;0,56;0,39;2;-0,01;-0,28;95
48;0;0;-0,19;0;0;0,6;0,4;1,9;0;-0,19;96
49;0,01;0;-0,09;0;0;0,51;0,41;1,9;0,01;-0,09;96
50;-0,01;0;-0,19;0;0;0,56;0,42;1,9;-0,01;-0,19;97
51;-0,01;0;-0,19;0;0;0,5;0,43;1,9;-0,01;-0,19;97
52;-0,01;0;-0,19;0;0;0,6;0,44;1,9;-0,01;-0,19;98
53;0;0;0;0;0;0,44;0,45;1,9;0;0;98
54;-0,01;0;-0,28;0;0;0,56;0,46;1,9;-0,01;-0,28;99
55;0;0;-0,19;0;0;0,56;0,47;1,9;0;-0,19;99
56;-0,01;0;-0,28;0;0;0,53;0,48;1,9;-0,01;-0,28;100
57;0;0;-0,28;0;0;0,47;0,48;2;0;-0,28;100
58;-0,01;0;-0,19;0;0;0,59;0,49;1,9;-0,01;-0,19;101
59;0;0;-0,09;0;0;0,51;0,5;1,9;0;-0,09;101
60;-0,01;0;-0,09;0;0;0,5;0,51;1,9;-0,01;-0,09;102
61;0;0;0;0;0;0,53;0,52;1,9;0;0;102
62;-0,01;0;-0,28;0;0;0,53;0,53;1,9;-0,01;-0,28;103
63;-0,01;0;-0,19;0;0;0,6;0,54;1,9;-0,01;-0,19;103
64;-0,01;-0,03;-0,19;0;0;0,57;0,55;1,9;-0,01;-0,19;104
65;-0,01;0,03;-0,38;0;0;0,51;0,56;1,9;-0,01;-0,38;104
66;-0,01;0;-0,19;0;0;0,36;0,57;1,9;-0,01;-0,19;105
67;-0,01;0;-0,19;0;0;0,47;0,57;2;-0,01;-0,19;105
68;-0,01;0;-0,09;0;0;0,51;0,58;1,9;-0,01;-0,09;106
69;-0,01;0;-0,09;0;0;0,51;0,58;1,9;-0,01;-0,09;192
70;-0,01;0;-0,09;0;0;0,51;0,58;1,9;-0,01;-0,09;192
71;0;0;-0,28;0;0;0,65;0,59;1,9;0;-0,28;193
72;-0,01;-0,03;-0,09;0;0;0,44;0,6;1,9;-0,01;-0,09;193
73;-0,01;0;-0,09;0;0;0,56;0,61;1,9;-0,01;-0,09;194
74;-0,01;0;-0,28;0;0;0,43;0,62;1,9;-0,01;-0,28;194
75;-0,01;0;-0,28;0;0;0,53;0,63;1,9;-0,01;-0,28;195
76;-0,01;0;-0,28;0;0;0,6;0,64;1,9;-0,01;-0,28;195
77;-0,01;0;-0,28;0;0;0,41;0,65;1,9;-0,01;-0,28;196
78;-0,01;0;-0,19;0;0;0,61;0,66;1,9;-0,01;-0,19;196
79;-0,01;0;-0,19;0;0;0,66;0,67;1,9;-0,01;-0,19;197
80;-0,01;0;-0,19;0;0;0,61;0,68;1,9;-0,01;-0,19;197
81;-0,01;0;-0,19;0;0;0,56;0,69;1,9;-0,01;-0,19;198
82;-0,01;0;-0,09;0;0;0,65;0,7;1,9;-0,01;-0,09;198
83;-0,01;0;-0,28;0;0;0,43;0,71;1,9;-0,01;-0,28;199
84;-0,01;0;-0,28;0;0;0,44;0,72;1,9;-0,01;-0,28;200
85;0;0;-0,09;0;0;0,5;0,72;1,9;0;-0,09;200
86;0;0;-0,09;0;0;0,39;0,73;0,1;0;-0,09;209
87;-0,01;0;-0,28;0;0;0,44;0,74;2,3;-0,01;-0,28;210
88;0;0;0;0;0;0,44;0,75;2,3;0;0;210
89;-0,01;0;-0,09;0;0;0,51;0,76;2,3;-0,01;-0,09;211
90;0;0;0,09;0;0;0,44;0,76;2,2;0;0,09;211
91;-0,01;0;0;0;0;0,39;0,77;2,2;-0,01;0;212
92;-0,01;0;-0,09;0;0;0,5;0,78;2,3;-0,01;-0,09;212
93;0;0;0;0;0;0,53;0,79;2,3;0;0;213
94;-0,01;0;-0,28;0;0;0,48;0,8;2,3;-0,01;-0,28;213
95;0;0;-0,09;0;0;0,36;0,8;2,3;0;-0,09;213
96;-0,01;0;-0,28;0;0;0,51;0,81;2,3;-0,01;-0,28;214
97;-0,01;0;-0,19;0;0;0,51;0,82;2,4;-0,01;-0,19;214
98;0;0;-0,19;0;0;0,44;0,83;2,3;0;-0,19;215
99;-0,01;0;-0,28;0;0;0,61;0,84;2,3;-0,01;-0,28;215
100;0;0;0;0;0;0,5;0,85;2,3;0;0;216
101;-0,01;0;-0,09;0;0;0,61;0,86;2,3;-0,01;-0,09;216
102;-0,01;0;-0,28;0;0;0,58;0,87;2,3;-0,01;-0,28;216
103;0;0;-0,09;0;0;0,34;0,87;2,3;0;-0,09;217
104;-0,01;0;-0,38;0;0;0,44;0,88;2,3;-0,01;-0,38;217
105;-0,01;0;-0,19;0;0;0,39;0,89;0,2;-0,01;-0,19;221
106;-0,01;0;-0,19;0;0;0,5;0,9;2,1;-0,01;-0,19;222
107;0;0;0;0;0;0,55;0,91;2,1;0;0;222
108;-0,01;0;-0,28;0;0;0,6;0,92;2;-0,01;-0,28;223
109;0;0,03;-0,19;0;0;0,56;0,93;2;0;-0,19;223
110;-0,01;-0,03;-0,09;0;0;0,51;0,94;2;-0,01;-0,09;223
111;0;0;-0,09;0;0;0,61;0,95;2;0;-0,09;224
112;-0,01;-0,03;-0,09;0;0;0,47;0,96;2;-0,01;-0,09;224
113;0;0;0;0;0;0,41;0,96;2;0;0;225
114;-0,01;0;-0,09;0;0;0,22;0,97;2;-0,01;-0,09;225
115;-0,01;0;-0,19;0;0;0,5;0,97;2;-0,01;-0,19;226
116;0;0;-0,09;0;0;0,35;0,98;2,1;0;-0,09;226
117;-0,01;0;-0,09;0;0;0,41;0,99;2,1;-0,01;-0,09;227
118;0;0,03;0;0;0;0,44;1;2,1;0;0;227
119;-0,01;0;-0,19;0;0;0,56;1,01;2;-0,01;-0,19;228
120;0;0;-0,09;0;0;0,53;1,01;2;0;-0,09;228
121;-0,01;0;-0,28;0;0;0,65;1,03;2;-0,01;-0,28;229
122;0;0;0;0;0;0,53;1,04;2;0;0;229
123;-0,01;0;-0,28;0;0;0,51;1,04;2;-0,01;-0,28;230
124;-0,01;0;-0,19;0;0;0,5;1,05;2;-0,01;-0,19;230
125;-0,01;0;-0,09;0;0;0,56;1,06;2;-0,01;-0,09;231
126;0;0;-0,09;0;0;0,48;1,07;2,1;0;-0,09;231
127;-0,01;0,03;-0,09;0;0;0,53;1,08;2,1;-0,01;-0,09;232
128;0;0;-0,09;0;0;0,44;1,09;2;0;-0,09;232
129;0;0;-0,09;0;0;0,48;1,1;2;0;-0,09;233
130;0;0;-0,09;0;0;0,39;1,1;2;0;-0,09;233
131;-0,01;0;0;0;0;0,47;1,11;2;-0,01;0;234
132;0;0,03;-0,09;0;0;0,39;1,12;2;0;-0,09;234
133;-0,01;0;-0,19;0;0;0,44;1,13;2;-0,01;-0,19;234
134;-0,01;0;-0,19;0;0;0,48;1,13;2;-0,01;-0,19;235
135;-0,01;0;0,09;0;0;0,33;1,14;2;-0,01;0,09;236
136;0;0;-0,19;0;0;0,58;1,15;2,1;0;-0,19;236
137;-0,01;0,03;-0,19;0;0;0,39;1,16;2,1;-0,01;-0,19;237
138;0;0,03;-0,09;0;0;0,65;1,17;2;0;-0,09;237
139;-0,01;0;-0,28;0;0;0,47;1,18;2;-0,01;-0,28;237
140;0;0;0,09;0;0;0,56;1,19;2;0;0,09;238
141;-0,01;0;-0,19;0;0;0,48;1,19;2;-0,01;-0,19;238
142;-0,01;0;0;0;0;0,41;1,2;2;-0,01;0;239
143;-0,01;0;0;0;0;0,39;1,21;2;-0,01;0;239
144;0;0;0,19;0;0;0,63;1,22;2;0;0,19;240
145;-0,01;0;-0,09;0;0;0,56;1,23;2;-0,01;-0,09;240
146;0;0;0;0;0;0,56;1,24;2,1;0;0;241
147;0;0;-0,09;0;0;0,53;1,25;2,1;0;-0,09;241
148;-0,01;0;0;0;0;0,5;1,26;2;-0,01;0;242
149;-0,01;0;0;0;0;0,43;1,26;2;-0,01;0;242
150;0;0;0;0;0;0,56;1,27;2;0;0;243
151;-0,01;0;-0,19;0;0;0,63;1,29;2;-0,01;-0,19;243
152;-0,01;0;-0,38;0;0;0,26;1,29;2;-0,01;-0,38;244
153;0;0;0;0;0;0,67;1,3;2;0;0;244
154;-0,01;0;0,09;0;0;0,49;1,31;2;-0,01;0,09;245
155;-0,01;0;-0,09;0;0;0,5;1,32;2;-0,01;-0,09;245
156;0;0;0;0;0;0,41;1,33;2,1;0;0;246
157;-0,01;0;-0,19;0;0;0,53;1,34;2,1;-0,01;-0,19;246
158;-0,01;0;-0,19;0;0;0,35;1,34;2;-0,01;-0,19;246
159;-0,01;0;0;0;0;0,53;1,35;2;-0,01;0;247
160;-0,01;0;-0,09;0;0;0,32;1,36;2;-0,01;-0,09;248
161;-0,01;0;-0,19;0;0;0,33;1,36;2;-0,01;-0,19;248
162;-0,01;0;-0,09;0;0;0,45;1,37;2;-0,01;-0,09;249
163;-0,01;0,03;0;0;0;0,52;1,38;2;-0,01;0;249
164;0;0;-0,19;0;0;0,47;1,39;2;0;-0,19;249
165;-0,01;0;-0,19;0;0;0,53;1,4;2;-0,01;-0,19;250
166;0;0;-0,09;0;0;0,34;1,4;2,1;0;-0,09;250
167;-0,01;0;-0,28;0;0;0,44;1,41;2,1;-0,01;-0,28;251
168;-0,01;0;0,19;0;0;0,31;1,42;0,2;-0,01;0,19;254
169;-0,01;0;0;0;0;0,38;1,42;2;-0,01;0;255
170;-0,01;0;0;0;0;0,38;1,42;2;-0,01;0;381
171;-0,01;0;0;0;0;0,38;1,42;2;-0,01;0;382
172;0,01;0,03;1,5;0,6;0;0,5;1,43;2;0,01;1,5;382
173;0;0,06;1,32;0;0;0,31;1,44;2,1;0;1,32;382
174;0,01;0,06;1,41;1,19;0;0,27;1,44;2;0,01;1,41;383
175;0;0,1;1,32;0;0;0,53;1,45;2,1;0;1,32;384
176;0,01;0,1;1,22;1,79;0;0,39;1,46;2,1;0,01;1,22;384
177;0;0,06;1,41;0;0;0,5;1,47;2,1;0;1,41;384
178;0,01;0,1;1,41;1,79;0;0,32;1,47;2,1;0,01;1,41;385
179;0,01;0,1;1,5;1,79;0;0,45;1,48;2;0,01;1,5;385
180;-0,01;0,1;1,13;0;0;0,55;1,49;2;-0,01;1,13;386
181;-0,01;0,13;1,79;0;0;0,39;1,5;2;-0,01;1,79;386
182;-0,01;0,13;1,97;0;0;0,47;1,5;2,1;-0,01;1,97;387
183;0;0,16;1,79;0;0;0,26;1,51;2;0;1,79;387
184;-0,01;0,13;1,97;0;0;0,55;1,52;2,1;-0,01;1,97;388
185;0;0,1;2,35;0;0;0,44;1,53;2,1;0;2,35;388
186;-0,01;0,1;2,07;0;0;0,57;1,54;2,1;-0,01;2,07;389
187;0;0,06;2,44;0;0;0,47;1,54;2,1;0;2,44;389
188;-0,01;0,06;2,44;0;0;0,41;1,55;2,1;0;2,44;390
189;0,01;0,1;2,91;1,79;0;0,44;1,56;2;0,01;2,91;390
190;0;0,1;2,82;0;0;0,47;1,57;2;0;2,82;391
191;0;0,1;3,1;0;0;0,58;1,58;2;0;3,1;391
192;0,01;0,13;3,95;2,38;0;0,48;1,59;2;0,01;3,95;392
193;0;0,06;3,29;0;0;0,44;1,59;2,1;0;3,29;392
194;0,01;0,1;3,57;1,79;0;0,32;1,6;2,1;0,01;3,57;393
195;0;0,06;4,23;0;0;0,45;1,61;2;0;4,23;393
196;0,01;0,16;4,32;2,98;0;0,44;1,61;2,1;0,01;4,32;394
197;0;0,16;4,13;0;0;0,28;1,62;2,1;0;4,13;394
198;0,01;0,19;4,51;3,57;0;0,25;1,62;2,1;0,01;4,51;394
199;0;0,19;4,42;0;0;0,25;1,63;2,1;0;4,42;395
200;0,01;0,23;4,79;4,17;0;0,13;1,63;2;0,01;4,79;395
201;0;0,19;4,7;0;0;0,26;1,63;2;0;4,6;396
202;0;0,23;4,98;0;0;0,47;1,64;2;0;4,78;396
203;0,01;0,23;5,07;4,17;0;0,57;1,65;2,1;0,01;4,78;397
204;0;0,16;4,89;0;0;0,45;1,66;2;0;4,49;397
205;0,01;0,13;4,89;2,38;0;0,28;1,67;2,1;0,01;4,4;398
206;-0,01;0,13;4,98;0;0;0,45;1,67;2,1;0;4,39;398
207;0,01;0,16;5,36;2,98;0;0,12;1,68;2,1;0,01;4,67;399
208;0;0,13;5,54;0;0;0,38;1,68;2,1;0;4,76;399
209;0;0,16;5,45;0;0;0,31;1,69;2;0;4,57;400
210;0,01;0,19;5,45;1,79;0;0,36;1,69;2;0,01;4,47;400
211;0,01;0,13;5,92;2,38;0;0,31;1,7;2;0,01;4,84;401
212;0,02;0,13;6,01;0,6;0;0,25;1,7;2;0,02;4,84;401
213;0,03;0,13;6,39;0,48;0;0,2;1,71;2;0,03;5,11;401
214;0,02;0,23;6,39;1,04;0;0,32;1,71;2,1;0,02;5,02;402
215;0,03;0,23;6,67;0,69;0;0,38;1,72;2,1;0,03;5,2;403
216;0,04;0,26;6,58;0,6;0;0,33;1,73;2,1;0,04;5,01;403
217;0,04;0,26;6,67;0,6;0;0,32;1,73;2,1;0,04;5;403
218;0,07;0,29;6,58;0,45;0;0,5;1,74;2,1;0,07;4,81;404
219;0,07;0,32;6,58;0,5;0;0,25;1,74;2;0,07;4,71;404
220;0,07;0,35;6,77;0,55;0;0,22;1,75;2;0,07;4,8;405
221;0,07;0,35;6,86;0,55;0;0,28;1,75;2;0,07;4,8;405
222;0,06;0,32;6,95;0,54;0;0,32;1,76;2,1;0,06;4,8;406
223;0,04;0,39;7,24;0,89;0;0,31;1,76;2,1;0,04;4,98;406
224;0,04;0,45;6,95;1,04;0;0,38;1,77;2,1;0,04;4,6;407
225;0,04;0,45;7,14;1,04;0;0,38;1,78;2,1;0,04;4,69;407
226;0,04;0,45;7,42;1,04;0;0,25;1,78;2,1;0,04;4,87;408
227;0,04;0,42;7,61;0,97;0;0,33;1,79;2,1;0,04;4,96;408
228;0,04;0,48;7,52;1,28;0;0,26;1,79;2,1;0,04;4,77;409
229;0,05;0,55;7,8;1,12;0;0,39;1,8;2;0,05;4,95;409
230;0,05;0,58;7,52;1,07;0;0,26;1,8;2;0,06;4,57;410
231;0,04;0,48;7,71;1,28;0;0,31;1,81;2;0,04;4,66;410
232;0,04;0,55;7,89;1,26;0;0,28;1,81;2;0,04;4,75;410
233;0,04;0,55;7,99;1,26;0;0,31;1,82;2;0,04;4,75;411
234;0,04;0,55;8,08;1,26;0;0,36;1,82;2,1;0,04;4,75;412
235;0,05;0,52;8,27;1,06;0;0,44;1,83;2,1;0,05;4,84;412
236;0,04;0,52;8,36;1,36;0;0,31;1,84;2,1;0,04;4,83;413
237;0,04;0,42;8,36;0,97;0;0,26;1,84;2,1;0,05;4,73;413
238;0,04;0,39;8,64;0,89;0;0,51;1,85;2,1;0,05;4,92;413
239;0,04;0,16;8,83;0,37;0;0,44;1,86;2,1;0,05;5,01;414
240;0,03;0,1;8,83;0,3;0;0,39;1,87;2;0,03;4,91;414
241;0,03;0,1;8,83;0,3;0;0,38;1,87;2;0,03;4,81;415
242;0,03;0,13;9,02;0,4;0;0,31;1,88;2,1;0,03;4,9;415
243;0,03;0,13;9,11;0,4;0;0,25;1,88;2;0,03;4,9;416
244;0,04;0,16;9,21;0,43;0;0,45;1,89;2,1;0,04;4,89;416
245;0,03;0,16;9,21;0,6;0;0,31;1,9;2,1;0,03;4,79;417
246;0,04;0,13;9,3;0,34;0;0,33;1,9;2,1;0,04;4,79;417
247;0,03;0,13;9,49;0,48;0;0,32;1,91;2,1;0,03;4,88;418
248;0,04;0,16;9,49;0,43;0;0,39;1,91;2,1;0,04;4,78;418
249;0,03;0,16;9,4;0,6;0;0,44;1,92;2;0,03;4,59;419
250;0,04;0,19;9,58;0,51;0;0,33;1,93;2;0,04;4,68;419
251;0,03;0,19;9,58;0,71;0;0,32;1,93;2;0,03;4,58;419
252;0,03;0,23;9,58;0,69;0;0,38;1,94;2;0,03;4,48;420
253;0,04;0,26;9,4;0,68;0;0,38;1,95;2,1;0,04;4,2;421
254;0,03;0,26;9,68;0,95;0;0,44;1,95;2,1;0,03;4,38;421
255;0,03;0,29;9,58;0,89;0;0,59;1,96;2,1;0,03;4,19;422
256;0,03;0,26;9,58;0,79;0;0,44;1,97;2,1;0,03;4,09;422
257;0,04;0,29;9,58;0,77;0;0,57;1,98;2,1;0,04;3,99;422
258;0,03;0,19;9,87;0,6;0;0,53;1,99;2,1;0,03;4,18;423
259;0,04;0,19;9,96;0,45;0;0,38;2;2;0,05;4,17;423
260;0,04;0,19;10,05;0,51;0;0,39;2;2;0,04;4,17;424
261;0,05;0,19;10,81;0,4;0;0,31;2,01;2;0,05;4,82;424
262;0,04;0,16;10,81;0,43;0;0,31;2,02;2,1;0,04;4,72;425
263;0,04;0,13;10,99;0,3;0;0,25;2,02;2,1;0,05;4,81;425
264;0,04;0,13;11,09;0,3;0;0,25;2,02;2,1;0,05;4,81;426
265;0,05;0,13;11,18;0,26;0;0,31;2,03;2;0,05;4,81;426
266;0,05;0,13;11,37;0,24;0;0,26;2,03;2,1;0,06;4,9;427
267;0,05;0,13;11,56;0,24;0;0,31;2,04;2,1;0,06;4,99;427
268;0,05;0,13;11,56;0,24;0;0,31;2,04;2,1;0,06;4,99;499
269;0,05;0,13;11,56;0,24;0;0,31;2,04;2,1;0,06;4,99;500
270;0,11;0,13;10,34;0,12;0;0,56;2,05;2;0,11;3,47;500
271;0,11;0,13;10,9;0,12;0;0,25;2,05;2;0,11;3,94;501
272;0,12;0,16;11,09;0,14;0;0,26;2,06;2;0,12;4,02;501
273;0,14;0,23;11,37;0,17;0;0,31;2,06;2,1;0,14;4,21;502
274;0,14;0,23;11,56;0,16;0;0,26;2,07;2,1;0,14;4,3;502
275;0,15;0,29;11,65;0,19;0;0,31;2,07;2,1;0,15;4,29;502
276;0,15;0,35;11,46;0,24;0;0,38;2,08;2,1;0,15;4,01;503
277;0,14;0,42;11,46;0,31;0;0,5;2,09;2,1;0,14;3,91;503
278;0,14;0,42;11,28;0,31;0;0,25;2,09;2,1;0,14;3,62;504
279;0,13;0,42;10,62;0,32;0;0,39;2,1;2;0,13;2,87;504
280;0,14;0,45;10,52;0,32;0;0,32;2,11;2;0,14;2,68;505
281;0,13;0,39;11,28;0,3;0;0,26;2,11;2,1;0,13;3,33;505
282;0,15;0,45;10,24;0,31;0;0,31;2,12;2,1;0,15;2,2;506
283;0,15;0,42;10,15;0,29;0;0,25;2,12;2,1;0,15;2,01;506
284;0,17;0,71;10,05;0,42;0;0,38;2,13;2,1;0,17;1,81;507
285;0,17;0,58;10,15;0,33;0;0,26;2,13;2,1;0,18;1,81;507
286;0,18;0,55;9,87;0,31;0;0,31;2,14;2,1;0,18;1,43;508
287;0,17;0,48;10,05;0,28;0;0,31;2,14;2,1;0,18;1,52;508
288;0,15;0,35;12,59;0,24;0;0,38;2,15;2;0,15;3,96;509
289;0,08;0,13;14,19;0,17;0;0,34;2,15;0,2;0,08;5,46;512
290;0,12;0,52;12,31;0,43;0;0,5;2,16;2;0,12;3,48;513
291;0,12;0,35;12,97;0,3;0;0,25;2,17;2,1;0,12;4,04;513
292;0,12;0,39;13,25;0,32;0;0,31;2,17;2,1;0,12;4,22;514
293;0,11;0,35;12,97;0,31;0;0,31;2,18;2;0,12;3,84;514
294;0,11;0,39;13,16;0,34;0;0,32;2,18;2,1;0,12;3,93;515
295;0,11;0,39;12,87;0,34;0;0,38;2,19;2,1;0,12;3,55;515
296;0,12;0,42;12,87;0,35;0;0,38;2,2;2,1;0,12;3,46;515
297;0,11;0,45;12,4;0,4;0;0,32;2,2;2,1;0,12;2,89;516
298;0,11;0,52;12,5;0,45;0;0,44;2,21;2;0,12;2,88;516
299;0,12;0,48;12,5;0,39;0;0,38;2,22;2;0,13;2,79;517
300;0,12;0,45;12,59;0,38;0;0,44;2,22;2,1;0,12;2,78;517
301;0,13;0,39;12,97;0,3;0;0,44;2,23;2;0,13;3,06;518
302;0,12;0,35;13,16;0,28;0;0,38;2,24;2,1;0,13;3,15;518
303;0,13;0,23;13,72;0,17;0;0,44;2,25;2,1;0,13;3,61;519
304;0,16;0,06;14,47;0,04;0;0,33;2,25;2,1;0,17;4,27;519
305;0,18;0,06;14,38;0,04;0;0,31;2,26;2,1;0,19;4,08;520
306;0,22;0,1;14,85;0,04;0;0,38;2,26;2,1;0,23;4,45;520
307;0,23;0,16;14,56;0,07;0;0,31;2,27;1,2;0,24;4,07;521
308;0,24;0,16;14,56;0,07;0;0,38;2,28;2;0,25;3,97;521
309;0,35;0,23;14,94;0,07;0;0,31;2,28;2;0,35;4,25;522
310;0,43;0,32;15,32;0,07;0;0,25;2,29;2;0,44;4,53;522
311;0,53;0,42;15,6;0,08;0;0,32;2,29;2;0,53;4,71;523
312;0,76;0,71;15,97;0,09;0;0,32;2,3;2;0,76;4,99;523
313;0,9;0,87;16,16;0,1;0;0,25;2,3;2;0,91;5,08;524
314;1,03;1,03;16,26;0,1;0;0,25;2,31;2,1;1,04;5,07;524
315;1,18;1,23;16,07;0,1;0;0,26;2,31;2,1;1,18;4,79;525
316;1,43;1,81;16,82;0,13;0;0,31;2,32;2,1;1,43;5,44;525
317;1,56;2,13;16,54;0,14;0;0,38;2,32;2,1;1,56;5,06;526
318;1,69;2,39;16,82;0,14;0;0,31;2,33;2;1,69;5,24;526
319;1,95;3,16;17,38;0,16;0;0,32;2,33;2;1,95;5,71;527
320;2,05;3,77;17,2;0,18;0;0,31;2,34;2;2,05;5,42;527
321;2,17;4,96;17,2;0,23;0;0,38;2,35;2;2,17;5,33;528
322;2,43;5,35;17,67;0,22;0;0,32;2,35;2,1;2,44;5,7;528
323;2,56;5,74;17,2;0,22;0;0,38;2,36;2,1;2,57;5,13;529
324;2,69;6,38;17,95;0,24;0;0,38;2,36;2,1;2,7;5,78;529
325;2,9;7,48;18,61;0,26;0;0,32;2,37;2,1;2,91;6,34;530
326;3;8,19;17,85;0,27;0;0,31;2,38;2,1;3;5,49;530
327;3,14;9,19;18,7;0,29;0;0,39;2,38;2,1;3,14;6,24;530
328;3,24;9,77;18,23;0,3;0;0,39;2,39;2;3,25;5,67;531
329;3,45;10,8;18,23;0,31;0;0,38;2,4;2;3,45;5,57;531
330;3,59;11,12;19,45;0,31;0;0,38;2,4;2;3,6;6,7;532
331;3,71;11,93;18,32;0,32;0;0,38;2,41;2;3,71;5,47;532
332;4,01;12,86;18,98;0,32;0;0,44;2,42;2,1;4,02;6,03;533
333;4,17;13,54;18,98;0,32;0;0,5;2,43;2;4,17;5,93;533
334;4,29;13,99;18,89;0,33;0;0,38;2,43;2,1;4,29;5,74;534
335;4,43;14,44;18,42;0,33;0;0,44;2,44;2,1;4,43;5,17;534
336;4,45;14,35;18,98;0,32;0;0,5;2,45;2,1;4,46;5,64;535
337;4,41;13,48;19,08;0,31;0;0,5;2,46;2,1;4,41;5,64;535
338;4,36;13,15;18,98;0,3;0;0,5;2,47;2;4,36;5,44;536
339;4,31;12,67;18,51;0,29;0;0,5;2,47;2;4,31;4,88;536
340;4,15;13,09;19,73;0,32;0;0,5;2,48;2,1;4,15;6;537
341;4,06;12,8;18,61;0,32;0;0,44;2,49;2;4,07;4,77;537
342;4;12,61;18,89;0,32;0;0,5;2,5;2,1;4;4,96;538
343;3,96;12,51;19,17;0,32;0;0,47;2,51;2,1;3,96;5,14;538
344;3,99;12,73;20,58;0,32;0;0,56;2,52;2,1;3,99;6,45;539
